관측소 번호,관측소 명,위도,경도
BCH059,대광해수욕장,35.103,126.071
BCH060,우전해수욕장,34.971,126.137
BCH061,신지명사십리해수욕장,34.326,126.812
BCH063,율포솔밭해수욕장,34.67,127.089
BCH064,남열해돋이해수욕장,34.579,127.486
BCH066,구조라해수욕장,34.806,128.692
BCH067,와현해수욕장,34.812,128.708
BCH068,일산해수욕장,35.495,129.43
BCH069,나정고운모래해수욕장,35.782,129.491
BCH070,오류고아라해수욕장,35.821,129.509
BCH071,구룡포해수욕장,35.997,129.566
BCH072,칠포해수욕장,36.132,129.399
BCH073,기성망양해수욕장,36.842,129.435
BCH074,장호해수욕장,37.285,129.314
BCH075,추암해수욕장,37.477,129.159
BCH076,천진해수욕장,38.26,128.561
BCH077,삼포해수욕장,38.315,128.535
BCH078,봉수대해수욕장,38.323,128.527
BCH079,방포해수욕장,36.509,126.332
BCH080,화진포해수욕장,38.478,128.439
BCH081,송지호해수욕장,38.33,128.527
BCH082,송지호오토캠핑장,38.331,128.527
BCH083,백도해수욕장,38.3,128.546
BCH084,명파해수욕장,38.545,128.403
BCH085,마차진해수욕장,38.51,128.419
BCH086,대진1리해수욕장,38.504,128.424
BCH087,대진5리해수욕장,38.496,128.429
BCH088,초도해수욕장,38.492,128.429
BCH089,거진1리해수욕장,38.447,128.465
BCH090,거진11리해수욕장,38.444,128.455
BCH091,반암해수욕장,38.42,128.462
BCH092,가진해수욕장,38.373,128.509
BCH093,공현진1리해수욕장,38.358,128.508
BCH094,공현진2리해수욕장,38.35,128.511
BCH095,삼포2리해수욕장,38.318,128.531
BCH096,자작도해수욕장,38.297,128.547
BCH097,문암2리해수욕장,38.297,128.547
BCH098,교암해수욕장,38.291,128.546
BCH099,아야진해수욕장,38.276,128.553
BCH100,청간해수욕장,38.265,128.559
BCH101,봉포해수욕장,38.248,128.569
BCH102,캔싱턴리조트해수욕장,38.245,128.572
BCH103,화진포콘도해수욕장,38.343,128.514
BCH104,등대해수욕장,38.214,128.598
BCH105,외옹치해수욕장,38.183,128.608
BCH106,물치해수욕장,38.152,128.608
BCH107,정암해수욕장,38.138,128.616
BCH108,설악해수욕장,38.13,128.622
BCH109,오산해수욕장,38.09,128.664
BCH110,38(기사문)해수욕장,38.005,128.731
BCH111,잔교해수욕장,37.993,128.742
BCH112,중광정해수욕장,38.027,128.718
BCH113,동산해수욕장,37.982,128.756
BCH114,동산포해수욕장,37.982,128.756
BCH115,죽도해수욕장,37.973,128.76
BCH116,인구해수욕장,37.969,128.762
BCH117,광진해수욕장,37.965,128.764
BCH118,갯마을해수욕장,37.945,128.781
BCH119,남애3해수욕장,37.946,128.784
BCH120,남애1해수욕장,37.939,128.787
BCH121,원포해수욕장,37.932,128.791
BCH122,지경해수욕장,37.923,128.802
BCH123,북분리해수욕장,37.987,128.749
BCH124,동호해수욕장,35.518,126.483
BCH125,사근진해수욕장,37.813,128.897
BCH126,강문해수욕장,37.794,128.918
BCH127,안목해수욕장,37.772,128.948
BCH128,사천진해수욕장,37.843,128.873
BCH129,영진해수욕장,37.869,128.845
BCH130,하평해수욕장,37.843,128.873
BCH131,연곡해수욕장,37.859,128.853
BCH132,사천해수욕장,37.831,128.878
BCH133,순긋해수욕장,37.817,128.893
BCH134,남항진해수욕장,37.764,128.954
BCH135,염전해수욕장,37.734,128.99
BCH136,안인해수욕장,37.734,128.99
BCH137,등명해수욕장,37.704,129.016
BCH138,금진해수욕장,37.639,129.044
BCH139,도직해수욕장,37.602,129.076
BCH140,옥계해수욕장,37.627,129.049
BCH141,망상오토캠핑리조트해수욕장,37.598,129.08
BCH142,노봉해수욕장,37.587,129.1
BCH143,어달해수욕장,37.568,129.117
BCH144,대진해수욕장,37.581,129.109
BCH145,증산해수욕장,37.474,129.161
BCH146,작은후진해수욕장,37.464,129.175
BCH147,한재밑해수욕장,37.408,129.205
BCH148,상맹방해수욕장,37.403,129.211
BCH149,하맹방해수욕장,37.394,129.225
BCH150,덕산해수욕장,37.385,129.243
BCH151,궁촌해수욕장,37.324,129.267
BCH152,문암해수욕장,37.309,129.289
BCH153,용화해수욕장,37.289,129.304
BCH154,임원해수욕장,37.226,129.341
BCH155,오분해수욕장,37.426,129.191
BCH156,부남해수욕장,37.362,129.251
BCH157,원평해수욕장,37.32,129.272
BCH158,나곡해수욕장,37.126,129.371
BCH159,후정해수욕장,37.074,129.41
BCH160,봉평해수욕장,37.043,129.413
BCH161,망양정해수욕장,36.969,129.412
BCH162,후포해수욕장,36.675,129.442
BCH163,구산해수욕장,36.753,129.468
BCH164,대진해수욕장,36.565,129.426
BCH165,남호해수욕장,36.327,129.38
BCH166,하저해수욕장,36.389,129.407
BCH167,오보해수욕장,36.44,129.432
BCH168,경정해수욕장,36.482,129.433
BCH169,도구해수욕장,35.992,129.442
BCH170,전촌솔밭해수욕장,35.786,129.491
BCH171,봉길대왕암해수욕장,35.739,129.483
BCH172,임랑해수욕장,35.319,129.264
BCH173,광암해수욕장,35.101,128.497
BCH174,명사해수욕장,34.726,128.603
BCH175,물안해수욕장,35.01,128.652
BCH176,사곡해수욕장,34.898,128.571
BCH177,농소해수욕장,35.004,128.701
BCH178,흥남해수욕장,34.959,128.715
BCH179,덕포해수욕장,34.91,128.71
BCH180,망치해수욕장,34.811,128.666
BCH181,덕원해수욕장,34.778,128.575
BCH182,함목해수욕장,34.74,128.652
BCH183,옥계해수욕장,34.977,128.63
BCH184,황포해수욕장,35.02,128.674
BCH185,구영해수욕장,35.031,128.691
BCH186,여차해수욕장,34.713,128.625
BCH187,통영공설해수욕장,34.819,128.439
BCH188,비진도해수욕장,34.72,128.459
BCH189,사량대항해수욕장,34.85,128.212
BCH190,남일대해수욕장,34.926,128.096
BCH191,송정솔바람해수욕장,34.722,128.023
BCH192,사촌해수욕장,34.743,127.855
BCH193,두곡월포해수욕장,34.768,127.907
BCH194,설리해수욕장,34.706,128.026
BCH195,만성리해수욕장,34.774,127.744
BCH196,웅천친수공원,34.747,127.667
BCH197,모사금해수욕장,34.796,127.756
BCH198,장등해수욕장,34.644,127.61
BCH199,방죽포해수욕장,34.63,127.793
BCH200,무슬목해수욕장,34.683,127.776
BCH201,거문도해수욕장,34.02,127.304
BCH202,안도해수욕장,34.49,127.812
BCH203,용동해수욕장,34.631,127.18
BCH204,익금해수욕장,34.429,127.145
BCH205,연소해수욕장,34.447,127.116
BCH206,금장해수욕장,34.434,127.164
BCH207,발포해수욕장,34.491,127.355
BCH208,염포해수욕장,34.432,127.492
BCH209,나로우주해수욕장,34.466,127.47
BCH210,덕흥해수욕장,34.527,127.459
BCH211,대전해수욕장,34.713,127.271
BCH212,풍류해수욕장,34.664,127.229
BCH213,수문해수욕장,34.635,127.034
BCH214,금일명사십리해수욕장,34.333,127.061
BCH215,동고해수욕장,34.329,126.88
BCH216,가사해수욕장,34.37,126.928
BCH217,지리해수욕장,34.196,126.862
BCH218,신흥해수욕장,34.183,126.908
BCH219,예송해수욕장,34.14,126.562
BCH220,중리해수욕장,34.162,126.59
BCH221,통리해수욕장,34.157,126.578
BCH222,금곡해수욕장,34.312,126.963
BCH223,송호해수욕장,34.315,126.518
BCH224,사구미해수욕장,34.32,126.578
BCH225,송평해수욕장,34.435,126.471
BCH226,가계해수욕장,34.434,126.354
BCH227,금갑해수욕장,34.394,126.278
BCH228,신전해수욕장,34.284,126.074
BCH229,관매도해수욕장,34.24,126.05
BCH230,외달도해수욕장,34.781,126.297
BCH231,홀통해수욕장,35.062,126.336
BCH232,톱머리해수욕장,34.968,126.386
BCH233,짱뚱어해수욕장,34.988,126.135
BCH234,백길해수욕장,34.849,126.039
BCH235,분계해수욕장,34.871,125.98
BCH236,원평해수욕장,34.775,125.913
BCH237,하트해수욕장,34.75,125.895
BCH238,시목해수욕장,34.672,125.954
BCH239,돈목해수욕장,34.608,125.827
BCH240,황성금리해수욕장,34.533,126.056
BCH241,추포해수욕장,34.802,126.068
BCH242,돌머리해수욕장,35.086,126.441
BCH243,가마미해수욕장,35.398,126.408
BCH244,송이도해수욕장,35.273,126.151
BCH245,구시포해수욕장,35.445,126.435
BCH246,동호해수욕장,38.058,128.683
BCH247,변산해수욕장,35.68,126.53
BCH248,고사포해수욕장,35.659,126.504
BCH249,격포해수욕장,35.63,126.469
BCH250,모항해수욕장,35.582,126.507
BCH251,위도해수욕장,35.603,126.283
BCH252,선유도해수욕장,35.823,126.412
BCH253,기지포해수욕장,36.562,126.322
BCH254,밧개해수욕장,36.53,126.33
BCH255,샛별해수욕장,36.448,126.335
BCH256,바람아래해수욕장,36.412,126.375
BCH257,장삼포해수욕장,36.422,126.36
BCH258,청포대해수욕장,36.639,126.301
BCH259,마검포해수욕장,36.618,126.287
BCH260,곰섬해수욕장,36.586,126.29
BCH261,갈음이해수욕장,36.696,126.152
BCH262,파도리해수욕장,36.739,126.133
BCH263,어은돌해수욕장,36.752,126.129
BCH264,방주골해수욕장,36.811,126.155
BCH265,의항해수욕장,36.828,126.159
BCH266,구름포해수욕장,36.836,126.152
BCH267,구례포해수욕장,36.886,126.198
BCH268,꾸지나무골해수욕장,36.935,126.292
BCH269,난지섬해수욕장,37.046,126.423
BCH270,왜목마을해수욕장,37.045,126.527
BCH271,옹암해수욕장,37.529,126.372
BCH272,서포리해수욕장,37.221,126.113
BCH273,십리포해수욕장,37.281,126.485
BCH275,왕산해수욕장,37.455,126.369
BCH276,하나개해수욕장,37.384,126.409
BCH277,금능해수욕장,33.389,126.235
BCH278,화순금모래해수욕장,33.239,126.334
BCH300,송정해변,37.779,128.937
BCH301,죽림해수욕장,34.837,128.586
BCH302,배낭기미해수욕장,34.689,125.427
BCH303,신도해수욕장,34.588,125.973
BCH304,홍도몽돌해수욕장,34.684,125.19
BCH305,두여해수욕장,36.542,126.329
BCH306,통개해수욕장,36.729,126.143
BCH307,실미해수욕장,37.403,126.402
BCH308,선녀바위해수욕장,37.439,126.378
BCH309,동막해수욕장,37.592,126.459
BCH310,민머루해수욕장,37.651,126.333
BCH311,진촌해수욕장,37.55,126.334
BCH312,한들해수욕장,37.528,126.346
BCH313,덕동해수욕장,34.635,128.236
BCH314,봉암몽돌해수욕장,34.759,128.512
BCH315,수기해수욕장,37.544,126.431
BCH316,구리동해수욕장,37.668,125.684
BCH317,사곶해수욕장,37.952,124.721
BCH318,모래울,37.812,124.684
BCH319,지두리해수욕장,37.819,124.672
BCH320,예동(소청)해수욕장,37.752,124.735
BCH321,밧지름해수욕장,37.215,126.141
BCH322,떼뿌루해수욕장,37.212,126.176
BCH323,굴업해수욕장,37.188,125.978
BCH324,문갑해수욕장,37.178,126.107
BCH325,송전해수욕장,38.092,128.658
BCH326,장골해수욕장,37.249,126.315
BCH327,큰말해수욕장,37.193,125.984
BCH328,종달리해수욕장,33.512,126.898
BCH329,모진이해수욕장,33.945,126.334
BCH331,이일레해수욕장,37.165,126.301
BCH332,한담해수욕장,33.461,126.31
BCH333,신흥리해수욕장,33.551,126.648
BCH334,하모해수욕장,33.211,126.26
BCH335,황우지해안,33.241,126.55
BCH336,소금막해수욕장,33.331,126.842
BCH337,큰풀안해수욕장,37.169,126.263
BCH338,쇠소깍해수욕장,33.251,126.622
BCH339,소록도해수욕장,34.508,127.131
BCH340,미라해수욕장,34.144,126.669
BCH341,안악해수욕장,35.139,126.39
BCH342,사계해변,33.231,126.31
BCH343,논짓물해변,33.237,126.389
BCH345,평대리해변,33.533,126.84
BCH346,작은풀안해수욕장,37.17,126.257
BCH348,통영수륙해수욕장,34.819,128.439
BCH349,계남해수욕장,37.159,126.277
BCH350,벌안해수욕장,37.181,126.222
BCH351,장경리해수욕장,37.272,126.448
BCH352,제부도해수욕장,37.167,126.617
BCH353,궁평리해수욕장,37.12,126.685
BCH354,방아머리해수욕장,37.288,126.576
BCH501,장안해수욕장,36.199,126.538
BCH502,원산도해수욕장,36.359,126.442
BCH503,용두해수욕장,36.265,126.548
BCH504,오봉산해수욕장,36.367,126.401
BCH505,고불개해수욕장,37.527,129.122
BCH506,사탄동해수욕장,37.814,124.677
BCH507,상록해수욕장,35.601,126.479
BCH508,호도해수욕장,36.297,126.265
BCH509,진너머해수욕장,36.345,126.352
BCH510,저두해수욕장,36.356,126.453
BCH511,정강해수욕장,34.218,127.237
BCH512,대풍해수욕장,34.235,127.238
BCH513,손죽해수욕장,34.287,127.36
BCH514,낭도해수욕장,34.592,127.555
BCH515,서도(이금포)해수욕장,34.055,127.295
BCH516,사목해수욕장,36.919,126.291
BCH517,북부해수욕장,36.055,129.378
BCH518,신덕해수욕장,34.818,127.766
BCH519,국화리해수욕장,37.062,126.557
BCH520,연대도해수욕장,34.734,128.396
BCH521,벌천포해수욕장,36.967,126.336
BCH522,장돌(장곡)해수욕장,36.416,126.366
BCH523,사도해수욕장,34.592,127.556
BCH524,고포해수욕장,37.146,129.363
BCH525,호산해수욕장,37.169,129.345
BCH526,조금나루해수욕장,34.994,126.333
BCH527,은점몽돌해수욕장,34.786,128.051
BCH528,감추해변,37.514,129.126
BCH529,비금원평해수욕장,34.776,125.92
BCH530,한섬해수욕장,37.52,129.122
BCH531,소돌해수욕장,37.906,128.825
BCH532,초도리마을해수욕장,38.487,128.433
