STAR,DATE,REVIEW
  5 ,2년 전,"망상해수욕장은 모래사장이 넓고 바다색이 예쁘네요
속초해수욕장과는 또다른 느낌입니다
바다 반대편으론 산이 웅장하네요"
  3 ,2년 전,올해 초 산불 후유증으로 공사중~이지만 망상리조트는 운영중 이더군요~해수욕장 개장을 위해 해변 모래 와 인도등 정비가 필요해보였습니다
  5 ,2년 전,"두번째 드라이브~~
방파제 앞에서 파도가 멋졋어요"
  5 ,2년 전,가을과 겨울의 망상해수욕장은 혼자는 사색을 연인들은 사랑에 더 빠져들게 만든다.
  4 ,3년 전,모래사장도 넓고 좋아요
  3 ,2년 전,물이맑고 깨끗해서 좋지만 주변에 볼거리가 별로없다
  5 ,1년 전,동해에 이쁘고 사람 엄청 붐비지 않는 해수욕장
  4 ,1년 전,"조용하고 가족단위로 놀기 좋은 넓은 해수욕장.

다만 제약이 심하다. 정해진 시간 (오전 9시 ~ 오후 6시) 이외에는 해변에 설치되어 있는 파라솔과 테이블을 사용할 수 없다. 10~20미터 가량 떨어진 뒷공간에서만 노는 것이 허용된다.

또한 파도가 조금이라도 강해지면 바로 물놀이가 금지된다. 물에 발 담그고 소소하게 노는 것도 불가능하다. 바다 바로 앞 파라솔을 빌려 앉아쉬는 것과 산책 정도만 가능하다."
  5 ,3년 전,힐링의 끝! 인근 설악해변 등등도 많이 다녀봤는데... 너무 아름다웠음
  4 ,2년 전,햇 빛은 뜨거운데 바닷 바람이 시원해서 아주 좋았습니다
  2 ,2년 전,"먹걸리가 별루 없네요
늦게가면 잠만자구와야할뜻"
  5 ,2년 전,한적하고 너무 예쁜 바다를 보고 갑니다!
  5 ,2년 전,해수욕장으로나 캠핑으로나 최고입니다. 오토캠핑장 잘돼어있구요. 모래사장이 넓어서 여름 바다를 찾는 사람들에겐 최고에요..피아노레스토랑 음식 맛있구요. 놀거리 먹을거리 적당히 있구요.. 겨울철에도 겨울바다 구경하기에는 좋아요.. 오토캠핑장 가격은 잘 모르겠네요.. 좀 비쌀지도...ㅎㅎ
  5 ,2년 전,"바다색깔 예쁘고, 파도가 예뻐요"
  4 ,2년 전,너무 관리가 잘되어 있고 화재 후 다시 정리 하는 모습도 좋은데.. 공중 화장실이 여름에만 개방 하고 좀 불편합니다.
  4 ,1년 전,"조용하고 좋아요 오토캠핑장도 있고
예약한 숙소 바로 앞에 있어서 더 좋았습니다"
  5 ,3년 전,"해변이 너무 넓어서 좋았어요
우리나라에서 제일 넓다는게 실감이 나더라구요
넓고 여름에는 볼거리가 많은 공연이 있어서 좋아요"
  5 ,3년 전,넓고 사람이 없고 화장실 깨끗함
  5 ,2년 전,사진은 찍지 못했지만 코로나19에 대한 방역 조치는 확실하게 되어있더라구요 하지만 피서객이 없어서 백사장이 썰렁하더라구요 언젠가는 다시 망상해수욕장이 북적 북적 될꺼라 그날이 빨리 오기를 기대해봄니다
  3 ,1년 전,"26년전 신혼여행으로 들렀다가 아이들을 데리고 다시 갔던 곳, 오늘 매드 프라이드 행사를 기획했던 분과 이야기를 나누다가 환청, 망상 대회를 망상 해수욕장에서 개최하자고 합의를 보았는데....과연 실현될 수 있을런지  ~"
  5 ,2년 전,제2 캠핑장 시작하는곳에 있는 호남슈퍼 사장님이 서비스도 많이 주시고 짱 좋아요
  4 ,2년 전,탁트여서 좋습니다
  3 ,2년 전,"7월 10일까지 백사장 공사하고 있어서 일부만 사용할 수 있어서 불편해요
공사 끝나고 오시면 놀기 좋습니다
오토캠핑장은 운영하고 있네요"
  5 ,2년 전,바다가 바로 앞에 보이는 오토캠핑장도 있으며 맑고 깨끗한 동해바다~ 정말 멋진 곳 이에요~~
  5 ,2년 전,겨울이라 여행객이 몇명 없더라구요.여름에  북적되던 때와는 정말다르네요.조용해서 좋았는데 쓸쓸하기도 했어요.
  5 ,2년 전,"너무 멋저요.
시원한 바람 태평양을 달려온 숨가뿐 바람이 쉬어 가려는듯 가슴에 파고 듭니다.
정말 아름다운 바다죠."
  4 ,6달 전,백사장이 넓고 모레도 깨끗
  4 ,4년 전,"망상...망상...하는 이유를 알게 됨. 넓고 긴 해변과 깨끗한 바다와 모래사장 규모로는 우리나라 최대일듯. 해변에서 이어지는 공연, 버스킹, 행사등. 단지 주변 상권이 속초나 강릉만큼 된다면..... 좀 더 활성화되길 바랍니다."
  5 ,2년 전,조용하고 파도소리 들으며 힐링합니다~~
  3 ,3년 전,"강릉방향서 갈 경우 가는길 공사로 인해 도로가 안좋음 주의가 필요함
야간운전시 중앙선 잘 안보임"
  4 ,2년 전,직장 업무차 망상해수욕장을 처음다녀왔으나 평일이라 그런지 바닷가는 너무나 한산한 상태였더군요.
  5 ,2년 전,깨끗하고 예쁜 해수욕장
  5 ,2년 전,살이 좀 탔지만 물도 다른곳보다 깨끗하고 재미있었어요.
  5 ,2년 전,옛추억도 있는 폭 넓고 쭉 뻗은 백사장이 좋습니다.
  5 ,2년 전,망상해수욕장은 여유가있어 힐링이되며 겨울바다가 특히 제일 좋습니다
  4 ,1년 전,캠핑도 해수욕도 다양한놀거리있는곳
  4 ,2년 전,산불로 아직 정리전이라 유명세에비해  횡하긴한데 조용해서 괜찮은것같습니다
  5 ,1년 전,한적하고. 조용하고. 음식점과 롯데리아 편의점 있어요
  5 ,2년 전,너무너무 좋은곳입니다 커피숍도있어요!
  4 ,2년 전,넓은 백사장과 탁 트인 시야가 마음을 시원하게 해 주는 곳~~~
  5 ,8년 전,모래사장이 넓어서 여름에 오면 재미나게 놀 수 있을 것같아요^^
  4 ,2년 전,망상 오토캠핑장을 예약하고 싶었는데 생각보다 예약을 일찍해야합니다. 참고바랍니다.
  4 ,2년 전,파도가 높지만 경포대에 비하면 해변이 가까워 좋음.
  5 ,2년 전,수많은 인파로 북적여야 할 곳인데 코로나로 인해 사람이 거의 없어서 안타깝네요.
  5 ,2년 전,맑은하늘과 바다가 어우러져 시원해요
  3 ,5년 전,캠핑하기 좋은곳.요금이 비싼게 흠.1박 2만3천7백원
  5 ,3년 전,아주 넓은 백사장
  3 ,2년 전,모래가 부드럽고 여러가지 할것이 많아요
  5 ,2년 전,"오토캠핑장 너무 좋았어요
바람소리조차 좋더라구요"
  4 ,1년 전,깨끗하게잘정리되어있네요
  5 ,2년 전,시설 깨끗하고 방풍림 좋고 넓고 쵝고야
  5 ,2년 전,산과 바다가 가까이있어 바람이 쎔 그 걸과 바다가 장관을 이루는곳
  4 ,2년 전,"맑은 바다 고운모래사장
멋진벤치 다 조아요"
  5 ,2년 전,시원한 동해바다의 멋을 충분히 느낄수 있는 해변.
  5 ,2년 전,사람이 많이 없어서 조용하고 좋았어요!
  4 ,2년 전,파도 때문에 입수는 못했지만 좋았어요.
  5 ,3년 전,와 수평선 하늘과 바다가 구분되지 않는 아름다움!
  4 ,2년 전,고운 모래해변이 넓다. 모래더미를 나르는 포크레인이 여러대.
  5 ,2년 전,우리 강아지가 특히 더 좋아하는 깨끗한 바다
  4 ,2년 전,모래가 작고 아이들 놀기 좋아요.
  5 ,2년 전,겨울이라 조용하고 모래가 고운곳
  5 ,2년 전,"전기자 충전
동시 2대 됨"
  5 ,2년 전,겨울바다 진짜 깨끗하고 한적하고 좋습니다
  4 ,2년 전,망상에 사람이 있다? 없다?
  5 ,2년 전,파도가 무서워용~~~
  5 ,2년 전,시원해요. 모래사장이 좋아요.
  4 ,2년 전,넓고 시원한 느낌이 들었읍니다.
  4 ,3달 전,좋아요!!
  5 ,2년 전,전국최고길의 백사장과 주차이있는곳!
  5 ,4년 전,시원한파도소리와 백사장 너무좋아요.
  5 ,2년 전,좋아요! 너무 재밌게 놀다갑니다~
  5 ,3년 전,늘 오늘만큼 좋은 날들이기를~^^♡♡♡
  5 ,2년 전,조용히 바다 보기 좋은 곳~
  5 ,3년 전,"끝없이펼쳐진바다만,보실려면꼭강추합니다"
  5 ,4년 전,오랜만에오니까 추억이생각나네요 강추!!
  5 ,2년 전,강릉보다 깨끗하고 레트로한 주변 가게들
  5 ,3달 전,참조아요
  5 ,2년 전,긴 백사장이 좋아요!
  4 ,2년 전,깨끗해요!
  4 ,2년 전,깨끗하고 부다시설 많음
  4 ,2년 전,백사장이 점점 길어져서 바다를 가다가 지침
  4 ,3년 전,부드러운 자연 모래를 가진 백사장
  1 ,2년 전,이동네에 살지만 정말 최악의 관광지
  4 ,2년 전,넓고 깨끗하고 좋습니다.
  4 ,2년 전,"코로나 때문, 오랜만에 한적한 바닷가~~"
  5 ,2년 전,"파도소리...
최고지요"
  5 ,2년 전,공기좋고 백사장넓음
  1 ,2년 전,주변상인들 진짜... 여기가 최악이다
  3 ,5년 전,드라이브코스로제격이네요
  5 ,3년 전,추억만들기 좋은곳^^
  4 ,3년 전,여름휴가지로 강추합니다..ㅎㅎ
  4 ,4년 전,깨끗.시원
  5 ,2년 전,깨끗해서 좋아요
  4 ,2년 전,추억을만들어봐요
  4 ,3년 전,시원한 바다를 보기 좋은 곳
  5 ,2년 전,좋은곳
  4 ,2년 전,바다는 좋음 역시 망상
  4 ,2년 전,뷰가 최고입니다
  3 ,5년 전,캠핑 인프라가 좋음
  5 ,3년 전,넓고 좋아요
  5 ,2년 전,파도와깨끗한모래해변 굿!
  5 ,8달 전,굳
  5 ,2년 전,뷰가 좋은 해수욕장
  5 ,1년 전,굿
  4 ,2년 전,위치가 좋음
  4 ,2년 전,캠핑장 좋음
  5 ,2년 전,해수욕 하기좋음
  5 ,2년 전,좋네요
  4 ,2년 전,공사중이에요
  5 ,2년 전,친절
  4 ,2년 전,좋았습니다ᆢ
  4 ,3년 전,경치
  4 ,3년 전,또감
  5 ,2년 전,ㅇㅇ
  4 ,3년 전,좋아요
  5 ,2년 전,경치 굿
  4 ,3년 전,파도높음
  5 ,2년 전,동해 바다~
  4 ,4년 전,물 맑음
  5 ,2년 전,굿!!
  5 ,1년 전,동해 해수욕장
  5 ,9달 전,"One of my favorate beach in the east coast.
Long wide white sand resembles to desert.
Blue ocean.
And pretty much relax

(Google 번역 제공)
내가 가장 좋아하는 동해안 해변 중 하나.
길고 넓은 백사장은 사막을 닮았다.
푸른 바다.
그리고 꽤 쉬다."
  5 ,1년 전,"(Google 번역 제공) 이곳은 멋진 곳, 거대하지만 매우 아늑하고 조용한 해변입니다. 9월이면 현지인들이 저녁에 와서 다양한 불꽃놀이를 하고 소원을 빌기도 하죠❤️

(원문)
Это замечательное место , огромный но очень уютный и тихий пляж,, в сентябре местные жители приезжают к вечеру запустить различные салюты и загадывать желание конечно же о любви ❤️"
  4 ,10달 전,"Great place. Lots of parking, lots of eateries. Clean.

(Google 번역 제공)
좋은 곳. 많은 주차 공간, 많은 식당. 깨끗한."
  4 ,2달 전,
  5 ,2년 전,"Great! It's the best and most beautiful beach in Korea.

(Google 번역 제공)
엄청난! 한국에서 가장 아름답고 가장 아름다운 해변입니다."
  3 ,4년 전,"(Google 번역 제공) 가장 일반적인 해변, 엔터테인먼트 (예 : 바나나, 플라이 피쉬 등), 근위대, 영혼 및 카페가 있습니다.
미안한 안락 의자 : (

(원문)
Самый обычный пляж,есть развлечения (типа банан,flyfish и т.д.),есть спасатели,души и кафе.
Жаль нет лежаков:("
  5 ,2년 전,
  4 ,2년 전,
  5 ,5년 전,
  5 ,4년 전,"Calm but many festival at summmer

(Google 번역 제공)
조용하지만 많은 여름 축제"
  4 ,5년 전,"(Google 번역 제공) 이 근처에 자전거 스탬프 포스트 있음 170505

(원문)
この近くに自転車スタンプポスト有り170505"
  5 ,2년 전,
  5 ,2년 전,
  5 ,4년 전,"(Google 번역 제공) 하얀 모래 해변

(원문)
Pantai pasir putih"
  5 ,2년 전,
  5 ,2년 전,
  4 ,2년 전,
  5 ,2년 전,
  3 ,3년 전,
  5 ,2년 전,"Love

(Google 번역 제공)
애정"
  5 ,4년 전,"(Google 번역 제공) 추천할만한

(원문)
Recomendable"
  5 ,3년 전,
  5 ,2년 전,
  5 ,2년 전,
  5 ,4달 전,
  3 ,3년 전,
  3 ,2년 전,
  5 ,5년 전,
  4 ,3년 전,
  5 ,1년 전,
  5 ,2년 전,
  5 ,4년 전,
  4 ,2년 전,
  4 ,2년 전,
  4 ,2년 전,
  3 ,2년 전,
  2 ,2년 전,
  5 ,4달 전,
  3 ,2년 전,
  5 ,5년 전,
  4 ,2년 전,
  4 ,4년 전,
  5 ,8달 전,
  4 ,3년 전,
  4 ,2년 전,
  4 ,3년 전,
  5 ,2년 전,
  4 ,2년 전,
  4 ,2년 전,
  5 ,3년 전,
  5 ,2년 전,
  5 ,2년 전,
  4 ,2년 전,
  4 ,2년 전,
  5 ,2년 전,
  5 ,2달 전,
  4 ,3년 전,
  5 ,1달 전,
  5 ,2년 전,
  4 ,2년 전,
  5 ,2년 전,
  5 ,3년 전,
  5 ,1년 전,
  5 ,2년 전,
  5 ,2년 전,
  3 ,2년 전,
  4 ,2년 전,
  4 ,3년 전,
  3 ,2년 전,
  3 ,2년 전,
  5 ,2년 전,
  1 ,2년 전,
  5 ,3년 전,
  5 ,1년 전,
  5 ,3달 전,
  5 ,2년 전,
  5 ,2년 전,
  5 ,2년 전,
  5 ,2년 전,
  5 ,2년 전,
  5 ,2년 전,
  5 ,2년 전,
  4 ,2년 전,
  5 ,4년 전,
  5 ,5년 전,
  2 ,2년 전,
  4 ,3년 전,
  5 ,4년 전,
  4 ,2년 전,
  4 ,2년 전,
  3 ,2년 전,
  3 ,2년 전,
  5 ,2년 전,
  4 ,2년 전,
  4 ,2년 전,
  4 ,4년 전,
  4 ,2년 전,
  4 ,2년 전,
  1 ,4년 전,
  4 ,2년 전,
  4 ,2년 전,
  4 ,2년 전,
  4 ,2년 전,
  5 ,2년 전,
  5 ,2년 전,
  5 ,2년 전,
  5 ,3년 전,
  4 ,2년 전,
  4 ,5년 전,
  1 ,2년 전,
  4 ,2년 전,
  5 ,2년 전,
  5 ,2년 전,
  5 ,2년 전,
  5 ,2년 전,
  5 ,2년 전,
  3 ,3년 전,
  4 ,2년 전,
  4 ,3년 전,
  5 ,2년 전,
  5 ,2년 전,
  5 ,2년 전,
  4 ,2년 전,
  5 ,3년 전,
  4 ,3년 전,
  5 ,2년 전,
  4 ,2년 전,
  4 ,3년 전,
  5 ,2년 전,
  5 ,3년 전,
  4 ,2년 전,
  4 ,2년 전,
  4 ,2년 전,
  4 ,4년 전,
  4 ,2년 전,
  1 ,4년 전,
  5 ,2년 전,
  4 ,4년 전,
  5 ,2년 전,
  5 ,2년 전,
  5 ,2년 전,
  4 ,2년 전,
  4 ,2년 전,
  1 ,2년 전,
  3 ,2년 전,
  4 ,2년 전,
  5 ,2년 전,
  5 ,3년 전,
  5 ,4년 전,
  4 ,2년 전,
  5 ,2년 전,
  4 ,2년 전,
  5 ,2년 전,
  5 ,3년 전,
  5 ,2년 전,
  5 ,3년 전,
  5 ,3년 전,
  5 ,3년 전,
  4 ,4년 전,
  4 ,2년 전,
  5 ,4년 전,
  5 ,2년 전,
  5 ,2년 전,
  3 ,2년 전,
  2 ,2년 전,
  5 ,2년 전,
  5 ,7달 전,
  4 ,2년 전,
  5 ,2년 전,
  3 ,2년 전,
  4 ,2년 전,
  5 ,3년 전,
  5 ,2년 전,
  3 ,3년 전,
  4 ,2년 전,
  5 ,2년 전,
  5 ,2년 전,
  5 ,5년 전,
  4 ,5년 전,
  4 ,2년 전,
